;;Raw.Average;Raw.Average;Raw.STD;Raw.STD;ExtCal.StandardConcentration;ExtCal.StandardConcentration
;;0;0;0;0;0;0
;;Al 394.401 {85} (Radial);Al 237.312 {142} (Radial);Al 394.401 {85} (Radial);Al 237.312 {142} (Radial);Al 394.401 {85} (Radial);Al 237.312 {142} (Radial)
;;Y (cps);Y (cps);Y (cps);Y (cps);Y (ppm);Y (ppm)
1;BLK;2.32014;-0.45069;3.73558;0.76998;0;0
2;1MMR3220;71.32431;1.59444;3.53278;0.66149;1.10058;1.10058
3;3MMR3220;183.96389;8.74028;5.28908;1.10403;2.9651;2.9651
4;5MMR3220;307.14236;14.52917;3.6156;0.97453;4.99434;4.99434
5;10MMR3220;609.01319;30.70278;3.10715;1.87934;10.00966;10.00966
6;BLK;2.67917;-1.13194;1.69248;0.75129;0;0
7;CFG1902;125.20417;5.69653;2.16019;1.31499;;
8;CFG1904;123.96528;6.20625;2.72212;0.81533;;
9;DMH10;134.3875;6.07361;3.59816;1.54692;;
10;3MMR3220;179.97222;8.00069;3.43006;0.99093;2.9651;2.9651
11;H11a;151.64931;6.14514;3.04996;1.52658;;
12;CFG1903;123.50069;5.25;3.62667;0.88706;;
13;LQ19-223;116.19583;5.8125;1.31283;1.14261;;
14;1MMR3220;66.70694;2.58403;3.31387;0.64725;1.10058;1.10058
15;LQ19-225;108.97014;4.85;5.74839;1.22327;;
16;LQiHD144-145;111.44306;4.61458;3.33761;1.39568;;
17;RGK15-261;132.91736;5.99375;2.63397;1.05362;;
18;5MMR3220;295.02778;14.12292;5.0739;0.84434;4.99434;4.99434
19;RGK15-267;140.45903;6.10694;2.66132;0.76001;;
20;SC230;94.95764;3.65069;2.03859;1.88717;;
21;SC232;100.97292;3.20625;3.78147;1.30517;;
22;3MMR3220;170.23333;7.21944;2.79858;0.88645;2.9651;2.9651
